policy,ipc_gmean,l2_miss_rate_gmean,ipc_mean,l2_miss_rate_mean
lru,0.9068465841473607,0.2961271066076155,1.15032,0.4361804421146277
lru_bip,0.9275394321923429,0.347233691968115,1.1662050000000002,0.500132452568882
lru_lip,0.9324796744637058,0.3696004734942268,1.17039,0.5255993557565242
pseudo_lru,0.9067116942329769,0.2961159489085914,1.15015,0.43665600935584836
srrip,0.9246920392172092,0.3964899222577555,1.16105,0.5340158560945651
