predictor,ipc_gmean,mpki_gmean,accuracy_mean,ipc_mean,mpki_mean,ipc_gmean_vs_bimodal_%,mpki_gmean_reduction_vs_bimodal_%
bimodal,0.9068465841473607,2.3344624954425797,92.902,1.15032,8.115688,0.0,0.0
gag,0.9452734439026834,1.7863442997534982,94.7765,1.2165050000000002,6.692516,4.237415724673266,23.479417500137068
gap,0.9405318145392625,2.052505070094286,93.9285,1.2054399999999998,6.993861,3.7145456553242084,12.078044770423213
pap,0.9531996450453094,1.3228878318663904,95.2115,1.2279300000000002,6.4022440000000005,5.111455642911311,43.33223024790593
